Year	Loss
1990	 7898639 
1991	 7487232 
1991	 7389404 
1988	 6924749 
1993	 6685249 
1991	 5625469 
1993	 5549253 
1994	 5342757 
1994	 5127321 
1988	 5100022 
1996	 5093348 
1991	 5091018 
1997	 4964404 
1996	 4436698 
1991	 4336522 
1992	 4179473 
1993	 4165903 
2000	 4147371 
1991	 4098729 
1999	 4050863 
1992	 4017918 
1997	 3959984 
1993	 3800583 
2000	 3780724 
2000	 3772762 
1996	 3737536 
1997	 3663606 
1996	 3659823 
1996	 3652370 
1989	 3585705 
1991	 3553179 
1992	 3442131 
1998	 3435167 
1992	 3416687 
1990	 3416280 
1989	 3409999 
1990	 3357615 
1996	 3322206 
1996	 3221608 
1997	 3208714 
1991	 3200153 
2000	 3180845 
1998	 3165311 
1992	 3112822 
1988	 3099488 
1999	 3082872 
1997	 3028963 
1999	 3014664 
1996	 3005770 
1997	 3001082 
1997	 3000136 
1995	 2988180 
1995	 2964973 
2001	 2955629 
2000	 2953382 
1990	 2939669 
1992	 2939625 
1995	 2910058 
1992	 2901551 
1999	 2892637 
1999	 2890475 
1999	 2890272 
1992	 2866621 
1993	 2861923 
1997	 2854428 
2000	 2829573 
1989	 2820210 
1997	 2811912 
1995	 2807814 
1994	 2789514 
1996	 2774459 
1997	 2773315 
1997	 2757499 
1996	 2746830 
2000	 2736901 
1998	 2732120 
1997	 2729981 
1995	 2710528 
1988	 2707377 
1995	 2702593 
1998	 2685464 
1988	 2671300 
1988	 2671184 
1996	 2669879 
1990	 2669112 
1990	 2667010 
1996	 2648328 
1994	 2643053 
1998	 2643012 
1995	 2630890 
1990	 2627588 
1990	 2626776 
2000	 2613311 
2000	 2605273 
1989	 2602479 
1992	 2580026 
1998	 2541525 
2000	 2523393 
2000	 2516735 
1996	 2510799 
1991	 2504247 
1989	 2495747 
1991	 2487293 
1988	 2485421 
1996	 2462277 
2000	 2452286 
1991	 2438994 
1993	 2431623 
1991	 2429869 
1997	 2429039 
1999	 2426782 
1992	 2425338 
1991	 2390875 
1999	 2388606 
2001	 2386532 
1997	 2369036 
1996	 2361229 
1995	 2359498 
1994	 2339182 
1993	 2327351 
1992	 2321243 
1997	 2318778 
1999	 2312286 
1998	 2302612 
1995	 2292216 
1993	 2284612 
1990	 2280621 
1991	 2274747 
1996	 2274081 
1992	 2266644 
2000	 2263659 
1994	 2262964 
1998	 2258157 
1996	 2254849 
1996	 2253664 
1997	 2253043 
1998	 2252809 
1997	 2250003 
1997	 2249616 
1998	 2247724 
1995	 2217231 
1998	 2209462 
1995	 2203390 
1996	 2202351 
1998	 2200101 
2000	 2198386 
1997	 2196945 
1996	 2191835 
1996	 2181496 
1994	 2161008 
2001	 2142567 
1998	 2138317 
1994	 2127966 
1992	 2122457 
1999	 2119823 
1999	 2119630 
1999	 2119238 
1990	 2118573 
1993	 2110905 
1995	 2098319 
1990	 2080717 
1994	 2074140 
1993	 2071336 
2001	 2062311 
2001	 2061890 
1994	 2049804 
1989	 2048196 
1996	 2042148 
1993	 2032776 
1993	 2030947 
2001	 2024884 
1998	 2002975 
1999	 2001364 
1989	 1991735 
1991	 1991614 
1993	 1988149 
1998	 1983639 
2000	 1981079 
1990	 1978791 
1995	 1971521 
1993	 1969127 
1995	 1967219 
1995	 1958465 
1998	 1957966 
2000	 1957772 
1999	 1944368 
1992	 1940216 
1998	 1939176 
1994	 1937239 
2000	 1933303 
1999	 1927109 
1999	 1927109 
1999	 1927106 
1999	 1927100 
1998	 1923797 
1995	 1923299 
1989	 1923234 
1995	 1917512 
1993	 1908406 
1990	 1894452 
1999	 1887624 
2000	 1886326 
1995	 1885334 
1998	 1883754 
1998	 1882101 
1994	 1878103 
1993	 1875707 
1988	 1866445 
2000	 1863745 
1995	 1856397 
1994	 1853587 
2000	 1852238 
1992	 1846440 
1995	 1839750 
1995	 1834039 
1996	 1833711 
1988	 1831366 
1995	 1829415 
1997	 1827968 
1999	 1827254 
1989	 1826203 
1998	 1822366 
1996	 1819529 
1998	 1806086 
1995	 1799443 
1998	 1785859 
2000	 1785433 
1998	 1783378 
1999	 1773792 
1990	 1772746 
1998	 1761610 
1991	 1757112 
1996	 1747575 
1999	 1736584 
1998	 1736060 
1999	 1734316 
1995	 1730524 
1997	 1729568 
1998	 1714019 
1995	 1705852 
1993	 1705390 
2000	 1697681 
1995	 1691781 
1995	 1685843 
1988	 1684119 
1992	 1680461 
1991	 1676506 
2000	 1672418 
1997	 1670479 
1997	 1669430 
2001	 1661136 
2000	 1659337 
1998	 1656883 
1998	 1649571 
1995	 1649543 
1997	 1647440 
1991	 1645386 
1992	 1645278 
1995	 1643839 
1999	 1642822 
1995	 1641220 
1999	 1633986 
1998	 1632300 
1989	 1631789 
2000	 1631502 
1997	 1628985 
1993	 1626582 
1992	 1619287 
1989	 1608016 
1994	 1606862 
1992	 1604833 
1995	 1600152 
1997	 1594839 
1997	 1590103 
1997	 1586570 
1992	 1582881 
1993	 1576328 
1998	 1573049 
1992	 1572710 
1996	 1570588 
1991	 1565066 
1991	 1560838 
1997	 1558509 
1997	 1554947 
1998	 1553702 
1995	 1553598 
1998	 1538178 
1991	 1537264 
1991	 1520162 
1996	 1518229 
1997	 1503897 
1995	 1503115 
1997	 1502477 
1996	 1501420 
1997	 1498895 
1997	 1496721 
1997	 1496072 
1994	 1489061 
1995	 1488727 
